n_chunks, chunks_size, qos, sync, size, ns
1,256,1,0,Small,44324528
1,256,1,0,Small,80295818
1,256,1,0,Small,122721522
1,256,1,0,Small,161949084
1,256,1,0,Small,204650507
1,256,1,0,Small,244513614
1,256,1,0,Medium,94384161
1,256,1,0,Medium,187097773
1,256,1,0,Medium,283167331
1,256,1,0,Medium,376759461
1,256,1,0,Medium,458884429
1,256,1,0,Medium,570130975
1,256,1,0,Large,172609108
1,256,1,0,Large,389398090
1,256,1,0,Large,642145817
1,256,1,0,Large,828048634
1,256,1,0,Large,987308566
1,256,1,0,Large,1150437174
1,256,1,0,Huge,308056699
1,256,1,0,Huge,703761682
1,256,1,0,Huge,1109183026
1,256,1,0,Huge,1430611713
1,256,1,0,Huge,1718444518
1,512,1,1,Tiny,4831976
1,512,1,1,Tiny,3787319
1,512,1,1,Tiny,2758217
1,512,1,1,Tiny,2727262
1,512,1,1,Tiny,2607331
1,512,1,1,Small,17442193
1,512,1,1,Small,17524917
1,512,1,1,Small,28357883
1,512,1,1,Small,17224023
1,512,1,1,Small,17023079
1,512,1,1,Medium,45643969
1,512,1,1,Medium,44159031
1,512,1,1,Medium,41906371
1,512,1,1,Medium,48929229
1,512,1,1,Medium,41843442
1,512,1,1,Large,82806610
1,512,1,1,Large,86520066
1,512,1,1,Large,93146284
1,512,1,1,Large,82101827
1,512,1,1,Large,100763132
1,512,1,1,Huge,148125461
1,512,1,1,Huge,191515903
1,512,1,1,Huge,191728429
1,512,1,1,Huge,154468053
1,512,1,1,Huge,149842147
1,512,1,0,Tiny,3038274
1,512,1,0,Tiny,10301131
1,512,1,0,Tiny,12968429
1,512,1,0,Tiny,15976474
1,512,1,0,Tiny,18634309
1,512,1,0,Small,23488933
1,512,1,0,Small,20957112
1,512,1,0,Small,38124349
1,512,1,0,Small,69964538
1,512,1,0,Small,97851312
1,512,1,0,Small,115467350
1,512,1,0,Small,145579016
1,512,1,0,Medium,40744305
1,512,1,0,Medium,84904416
1,512,1,0,Medium,139399862
1,512,1,0,Medium,185588508
1,512,1,0,Medium,226890050
1,512,1,0,Large,275523195
1,512,1,0,Large,122897524
1,512,1,0,Large,229849443
1,512,1,0,Large,323416918
1,512,1,0,Large,395054207
1,512,1,0,Large,482386945
1,512,1,0,Large,545577642
1,512,1,0,Huge,141264103
1,512,1,0,Huge,339336879
1,512,1,0,Huge,526253357
1,512,1,0,Huge,757785622
1,512,1,0,Huge,981524705
1,1024,1,1,Tiny,1846135
1,1024,1,1,Tiny,1538554
1,1024,1,1,Tiny,1483302
1,1024,1,1,Tiny,1511596
1,1024,1,1,Tiny,1596900
1,1024,1,1,Small,8888917
1,1024,1,1,Small,8973824
1,1024,1,1,Small,12640549
1,1024,1,1,Small,8977241
1,1024,1,1,Small,8973076
1,1024,1,1,Medium,19832859
1,1024,1,1,Medium,21622549
1,1024,1,1,Medium,19871230
1,1024,1,1,Medium,19174848
1,1024,1,1,Medium,20651398
1,1024,1,1,Large,58715666
1,1024,1,1,Large,58391103
1,1024,1,1,Large,48584851
1,1024,1,1,Large,36303693
1,1024,1,1,Large,37424326
